"","subject","sex_response","age_response","Comp_pn","Comp_gb","Warm_pn","Warm_gb","expComp","expWarm","valExplicit","steIAT","steIATodd","steIATeven","valIAT","valIATodd","valIATeven","sblock_order","block_order","warm_s","comp_s","stExplicit","warm_s1","comp_s1","stExplicit1","condition","mem_c_response","mem_w_response","ok","finish","finishok","nrspexp","expok","nrspiat","iatok","assignment","sIATorder","valenceIAT","valenceExplicit","warm_ok","comp_ok","cont_ok","imp","exp","zimp","zexp"
"1",9,"male",36,-1,-2,2,3,-1.5,2.5,4,0.3046,0.3941,0.2676,0.9147,1.0848,0.8214,"compf","compf",5,5,5,1,1,1,"niff_w","they were paired with Luupites names","they were paired with Niffites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","compf",0.953633529284875,2.01340346544576,1,1,1,0.3046,1,0.838583938497365,0.711946602413365
"2",14,"male",56,-1,2,2,2,0.5,2,1.5,-0.9296,-0.9845,-1.131,0.0295,0.2022,-0.0953,"compf","incompf",1,1,1,-3,-3,-3,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","compf",-1.32565786504427,0.524957342341978,1,1,1,-0.9296,-3,-1.35176332220434,-1.2944483680243
"3",15,"male",27,2,2,3,3,2,3,1,-0.9599,-0.9493,-0.956,0.85,0.6958,1.0088,"incompf","compf",1,1,1,-3,-3,-3,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","incompf",0.787038236454898,0.227268117721222,1,1,1,-0.9599,-3,-1.40553703959152,-1.2944483680243
"4",19,"female",33,2,2,4,4,2,4,2,-0.3752,-0.2321,-0.6118,0.254,0.472,0.0782,"incompf","compf",3,3,3,-1,-1,-1,"niff_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","incompf",-0.747595372921704,0.822646566962734,0,0,0,-0.3752,-1,-0.367864017931913,-0.291250882805468
"5",20,"male",18,4,3,2,3,3.5,2.5,-1,-0.5317,-0.3944,-0.6691,0.7479,0.797,0.7642,"incompf","incompf",1,1,1,-3,-3,-3,"niff_w","they were paired with Niffites names","they were paired with Niffites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","incompf",0.524142109747933,-0.963488780761801,1,0,0,-0.5317,-3,-0.645606155591787,-1.2944483680243
"6",21,"female",47,4,4,4,4,4,4,0,-0.7776,-0.6334,-1.0544,1.007,0.8728,1.1484,"compf","compf",1,1,1,-3,-3,-3,"luup_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","compf",1.19129574764974,-0.36811033152029,0,0,0,-0.7776,-3,-1.08200738019602,-1.2944483680243
"7",22,"female",26,3,3,2,2,3,2,-1,-0.3306,-0.5375,-0.0793,0.5959,0.5827,0.5971,"compf","incompf",2,2,2,-2,-2,-2,"luup_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","compf",0.132759041584773,-0.963488780761801,0,0,0,-0.3306,-2,-0.288711945474211,-0.792849625414884
"8",26,"male",23,2,2,4,2,2,3,1,-0.5093,-0.1847,-0.7748,-0.496,-0.4623,-0.5351,"compf","incompf",6,3,4.5,2,-1,0.5,"niff_w","I don’t remember","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","compf",-2.67876182767414,0.227268117721222,0,0,0,-0.5093,0.5,-0.605852648348457,0.461147231108657
"9",30,"female",21,2,2,2,2,2,2,0,-0.4179,-0.2858,-0.73,0.3817,0.0396,0.5832,"compf","incompf",2,2,2,-2,-2,-2,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","compf",-0.418782097892523,-0.36811033152029,1,1,1,-0.4179,-2,-0.443644141114512,-0.792849625414884
"10",33,"male",22,3,4,4,3,3.5,3.5,0,0.7646,0.7461,0.8987,0.7358,1.0887,0.374,"compf","compf",6,6,6,2,2,2,"niff_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","compf",0.492985957611261,-0.36811033152029,0,0,0,0.7646,2,1.65495060510147,1.21354534502278
