"","subject","sex_response","age_response","Comp_pn","Comp_gb","Warm_pn","Warm_gb","expComp","expWarm","valExplicit","steIAT","steIATodd","steIATeven","valIAT","valIATodd","valIATeven","sblock_order","block_order","warm_s","comp_s","stExplicit","warm_s1","comp_s1","stExplicit1","condition","mem_c_response","mem_w_response","ok","finish","finishok","nrspexp","expok","nrspiat","iatok"
"23",56,"male",23,3,3,4,4,3,4,1,-0.0414,0.0933,-0.0362,0.987,0.9801,1.0219,"incompf","incompf",1,2,1.5,-3,-2,-2.5,"luup_w","they were paired with Niffites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE
"24",57,"male",19,4,4,4,4,4,4,0,0.1072,-0.0154,0.2758,0.4301,0.5964,0.4246,"compf","compf",6,6,6,2,2,2,"niff_w","they were paired with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE
"25",58,"female",23,3,3,4,4,3,4,1,0.0958,-0.0036,0.2557,1.1447,1.0189,1.262,"compf","incompf",7,7,7,3,3,3,"niff_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE
"26",61,"female",25,4,4,4,3,4,3.5,-0.5,0.3644,0.0591,0.5431,0.8009,0.9215,0.7856,"compf","compf",4,7,5.5,0,3,1.5,"luup_w","they were paired with Luupites names","I don’t remember",1,1,TRUE,2,TRUE,2,TRUE
"27",63,"male",29,3,4,3,4,3.5,3.5,0,-0.0678,-0.1973,0.0368,-0.0305,-0.6095,0.2932,"incompf","compf",2,2,2,-2,-2,-2,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE
"28",68,"male",21,-1,-1,2,2,-1,2,3,0.1857,0.0406,0.3952,0.539,0.2479,0.936,"incompf","incompf",4,5,4.5,0,1,0.5,"niff_w","I don’t remember","I don’t remember",1,1,TRUE,2,TRUE,2,TRUE
"29",70,"male",20,4,4,4,4,4,4,0,0.7328,0.8707,0.64,0.475,0.5169,0.4395,"compf","incompf",4,4,4,0,0,0,"luup_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE
"30",71,"female",34,1,-1,2,1,0,1.5,1.5,-0.2293,-0.4214,0.0286,1.0868,1.0441,1.2031,"incompf","compf",2,2,2,-2,-2,-2,"luup_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE
"31",72,"female",29,1,0,1,3,0.5,2,1.5,-0.0797,0.0152,-0.2087,0.4299,0.5696,0.4101,"incompf","incompf",3,3,3,-1,-1,-1,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE
"32",73,"male",28,1,1,3,3,1,3,2,-0.7431,-0.5488,-1.1015,0.3181,0.4377,0.2783,"compf","compf",3,3,3,-1,-1,-1,"niff_w","I don’t remember","I don’t remember",1,1,TRUE,2,TRUE,2,TRUE
"33",75,"male",31,4,4,4,4,4,4,0,0.5757,0.4016,0.8186,0.3275,0.0751,0.5507,"incompf","compf",7,7,7,3,3,3,"niff_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names",1,1,TRUE,2,TRUE,2,TRUE
"34",76,"male",27,0,0,2,2,0,2,2,-0.5257,-0.4492,-0.663,0.9702,0.9193,1.003,"incompf","incompf",2,2,2,-2,-2,-2,"niff_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE
"35",77,"female",22,2,2,-2,-2,2,-2,-4,-0.1156,-0.4375,0.2312,0.4389,0.7226,0.1595,"compf","compf",3,3,3,-1,-1,-1,"luup_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE
"36",80,"male",25,3,3,4,3,3,3.5,0.5,0.1416,-0.2008,0.3901,0.6545,0.8357,0.5373,"incompf","incompf",3,2,2.5,-1,-2,-1.5,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE
"37",81,"female",48,3,3,3,3,3,3,0,-0.4231,-0.2313,-0.6193,0.892,0.8982,0.8831,"compf","compf",4,6,5,0,2,1,"niff_w","they were paired with Luupites names","they were paired with Niffites names",1,1,TRUE,2,TRUE,2,TRUE
"38",86,"female",34,-4,-4,4,4,-4,4,8,0.1319,-0.0195,0.2615,1.064,1.0976,1.0511,"compf","incompf",1,1,1,-3,-3,-3,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE
"39",92,"female",60,4,4,4,4,4,4,0,-0.141,-0.0507,-0.2469,0.5369,0.6136,0.4534,"incompf","incompf",6,4,5,2,0,1,"niff_w","they were paired with Luupites names","they were paired with Niffites names",1,1,TRUE,2,TRUE,2,TRUE
"40",94,"male",42,4,4,4,4,4,4,0,-0.9791,-0.772,-1.1813,0.1056,-0.1736,0.3663,"compf","incompf",1,7,4,-3,3,0,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE
"41",99,"male",29,3,4,4,3,3.5,3.5,0,-0.1022,0.0957,-0.3471,0.5834,0.4775,0.6518,"incompf","compf",5,4,4.5,1,0,0.5,"niff_w","I don’t remember","they were paired with Niffites names",1,1,TRUE,2,TRUE,2,TRUE
"42",101,"female",50,4,4,4,4,4,4,0,-0.2286,-0.2255,-0.3045,0.8929,0.7236,1.0768,"compf","compf",3,4,3.5,-1,0,-0.5,"luup_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE
"43",102,"female",18,4,3,3,2,3.5,2.5,-1,0.2977,0.2984,0.2951,0.1113,0.0676,0.2233,"compf","incompf",6,6,6,2,2,2,"luup_w","they were paired with Niffites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE
"44",104,"female",18,3,4,2,4,3.5,3,-0.5,0.2942,-0.0491,0.4769,0.8623,0.9671,0.8649,"incompf","incompf",4,2,3,0,-2,-1,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE
"45",106,"male",36,3,3,4,4,3,4,1,0.7225,0.6977,0.782,0.8814,0.8882,0.9098,"compf","incompf",4,4,4,0,0,0,"niff_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE
"46",108,"male",35,3,3,3,3,3,3,0,-0.5453,-0.8247,-0.2843,0.8483,0.8748,0.8655,"incompf","incompf",2,2,2,-2,-2,-2,"niff_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE
"47",109,"male",22,3,3,3,3,3,3,0,-0.2006,0.1195,-0.7049,0.9972,1.2206,0.7337,"compf","compf",7,7,7,3,3,3,"luup_w","they were paired with Luupites names","they were paired with Niffites names",1,1,TRUE,2,TRUE,2,TRUE
"48",110,"female",25,1,1,4,3,1,3.5,2.5,-0.7607,-0.8887,-0.6601,0.7611,0.6962,0.8044,"compf","incompf",5,5,5,1,1,1,"luup_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE
"49",113,"male",35,3,3,3,3,3,3,0,0.9767,0.9356,1.1119,-0.056,-0.1283,0.0243,"compf","compf",7,7,7,3,3,3,"niff_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE
"50",114,"female",32,2,0,4,2,1,3,2,-0.2855,-0.5264,-0.1304,0.1576,0.1111,0.2119,"compf","incompf",7,7,7,3,3,3,"niff_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE
"51",116,"female",28,3,3,2,2,3,2,-1,0.341,-0.1083,0.8041,0.8307,1.0868,0.7477,"incompf","incompf",3,3,3,-1,-1,-1,"niff_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE
"52",119,"female",29,2,2,3,3,2,3,1,-0.5661,-0.5576,-0.6529,0.8016,1.1434,0.4142,"incompf","compf",3,3,3,-1,-1,-1,"luup_w","they were paired with Niffites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE
"53",121,"female",30,1,1,1,2,1,1.5,0.5,0.3611,0.1328,0.5828,0.8772,0.9251,0.8243,"compf","compf",6,6,6,2,2,2,"niff_w","they were paired with Luupites names","they were paired with Niffites names",1,1,TRUE,2,TRUE,2,TRUE
"54",122,"female",23,-3,-3,3,3,-3,3,6,0.48,0.5835,0.4112,0.3572,0.251,0.3901,"compf","incompf",7,7,7,3,3,3,"niff_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names",1,1,TRUE,2,TRUE,2,TRUE
"55",127,"male",30,4,4,3,3,4,3,-1,0.2498,0.1875,0.2791,0.5933,0.5478,0.6377,"incompf","compf",6,6,6,2,2,2,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE
"56",128,"male",22,3,3,4,4,3,4,1,0.2646,0.1154,0.3954,0.6568,0.421,0.9544,"incompf","incompf",6,7,6.5,2,3,2.5,"luup_w","they were paired with Luupites names","they were paired with Niffites names",1,1,TRUE,2,TRUE,2,TRUE
"57",131,"male",48,1,1,3,3,1,3,2,-0.2154,-0.1734,-0.2527,0.7892,0.7417,0.835,"incompf","compf",4,4,4,0,0,0,"niff_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE
"58",134,"male",41,2,0,4,2,1,3,2,-0.5807,-0.6634,-0.5988,0.2407,0.4526,0.1014,"compf","incompf",1,1,1,-3,-3,-3,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE
"59",138,"female",31,2,2,4,3,2,3.5,1.5,0.2235,0.1541,0.2807,0.7262,0.7595,0.7344,"compf","incompf",6,6,6,2,2,2,"niff_w","they were paired with Luupites names","they were paired with Niffites names",1,1,TRUE,2,TRUE,2,TRUE
"60",140,"female",33,0,0,1,1,0,1,1,-0.7891,-0.8704,-0.7465,1.15,1.0237,1.2904,"incompf","incompf",1,1,1,-3,-3,-3,"niff_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE
"61",142,"female",25,2,2,3,3,2,3,1,-0.4395,-0.7483,-0.1275,0.7067,0.9513,0.2121,"compf","incompf",3,3,3,-1,-1,-1,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE
"62",147,"male",40,4,4,2,2,4,2,-2,0.5071,0.4368,0.6842,-0.0605,0.104,-0.3094,"incompf","compf",7,7,7,3,3,3,"niff_w","I don’t remember","I don’t remember",1,1,TRUE,2,TRUE,2,TRUE
"63",153,"female",21,4,4,3,4,4,3.5,-0.5,0.4932,0.7984,0.2741,0.4004,0.5342,0.309,"compf","compf",7,7,7,3,3,3,"niff_w","they were paired with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE
"64",157,"female",44,4,4,4,4,4,4,0,-1.3696,-1.1606,-1.5981,0.296,0.4921,0.1945,"compf","compf",7,1,4,3,-3,0,"luup_w","I don’t remember","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE
"65",158,"male",58,3,4,4,4,3.5,4,0.5,-0.9551,-0.9364,-1.2583,0.8438,0.8547,0.8283,"compf","incompf",2,2,2,-2,-2,-2,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE
"66",162,"female",28,3,3,3,3,3,3,0,0.5965,0.6804,0.5438,0.8758,1.1225,0.8773,"compf","incompf",5,6,5.5,1,2,1.5,"niff_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE
"67",165,"female",29,2,3,4,4,2.5,4,1.5,-0.5137,-0.4021,-0.7679,0.2199,0.1476,0.3415,"compf","compf",3,3,3,-1,-1,-1,"luup_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE
"68",167,"female",63,3,3,3,3,3,3,0,-0.6734,-0.7218,-0.8923,0.5469,0.3277,0.8946,"incompf","compf",1,1,1,-3,-3,-3,"luup_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE
"69",169,"female",21,2,2,2,2,2,2,0,-0.7483,-0.7181,-0.9165,0.2577,0.3187,0.1993,"compf","compf",6,6,6,2,2,2,"niff_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE
"70",173,"female",56,3,4,4,4,3.5,4,0.5,-1.1351,-1.0266,-1.271,0.9295,0.9738,0.9243,"compf","compf",3,2,2.5,-1,-2,-1.5,"luup_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE
"71",174,"female",32,1,1,4,4,1,4,3,-0.1812,-0.2773,0.1058,0.6938,1.0664,0.5807,"compf","incompf",2,2,2,-2,-2,-2,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE
"72",175,"male",30,-1,0,1,0,-0.5,0.5,1,0.3575,0.5026,0.2472,-0.1524,-0.121,-0.0932,"incompf","compf",5,4,4.5,1,0,0.5,"luup_w","they were paired with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE
"73",178,"male",26,-1,1,1,1,0,1,1,0.5167,0.3461,0.741,0.2765,0.2655,0.2968,"compf","incompf",2,6,4,-2,2,0,"niff_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE
"74",181,"male",32,2,3,3,3,2.5,3,0.5,-0.4692,-0.5067,-0.3762,0.3512,-0.0163,0.8522,"compf","compf",2,2,2,-2,-2,-2,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE
"75",183,"male",28,4,4,4,4,4,4,0,-1.292,-1.2299,-1.4198,0.3802,0.4695,0.3002,"incompf","compf",1,1,1,-3,-3,-3,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE
"76",184,"male",32,2,2,4,4,2,4,2,-0.647,-0.9529,-0.3853,-0.1286,0.0346,-0.3028,"incompf","incompf",2,2,2,-2,-2,-2,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE
"77",186,"male",25,3,3,2,2,3,2,-1,0.9772,0.9597,1.2376,0.3638,0.3513,0.4997,"compf","incompf",6,6,6,2,2,2,"niff_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE
"78",187,"male",27,3,2,-2,0,2.5,-1,-3.5,-0.0686,-0.1549,0.063,1.2273,1.2093,1.2319,"incompf","compf",7,7,7,3,3,3,"niff_w","they were paired with Luupites names","they were paired with Niffites names",1,1,TRUE,2,TRUE,2,TRUE
"79",190,"male",22,3,1,4,3,2,3.5,1.5,0.9647,1.1765,0.701,1.0651,1.291,0.876,"compf","incompf",7,7,7,3,3,3,"luup_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE
"80",192,"female",20,1,1,2,2,1,2,1,-0.3815,-0.5371,-0.1199,0.7194,0.7862,0.6992,"incompf","incompf",1,3,2,-3,-1,-2,"luup_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE
"81",196,"female",20,2,3,4,4,2.5,4,1.5,-0.1157,-0.5291,0.2887,0.7487,0.6864,0.856,"incompf","incompf",1,1,1,-3,-3,-3,"niff_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE
"82",197,"male",59,4,4,4,4,4,4,0,-1.2812,-1.3707,-1.3889,1.0084,1.0788,0.9695,"compf","compf",1,1,1,-3,-3,-3,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE
"83",200,"female",27,2,3,2,3,2.5,2.5,0,-0.422,-0.5473,-0.3341,0.4511,0.3118,0.6018,"incompf","incompf",1,1,1,-3,-3,-3,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE
"84",206,"male",21,1,1,3,3,1,3,2,-0.3585,-0.3248,-0.359,0.2831,-0.0178,0.6065,"compf","incompf",4,4,4,0,0,0,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE
"85",213,"female",21,2,3,2,2,2.5,2,-0.5,-0.3433,-0.2652,-0.4068,0.7187,0.6443,0.8416,"compf","compf",2,2,2,-2,-2,-2,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE
"86",214,"female",26,4,4,4,4,4,4,0,0.3896,0.3331,0.6175,0.8965,0.9946,0.9138,"compf","incompf",1,1,1,-3,-3,-3,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE
"87",219,"female",30,1,2,-2,-1,1.5,-1.5,-3,0.2481,0.3673,0.1122,1.0477,1.0829,1.2107,"incompf","compf",4,2,3,0,-2,-1,"niff_w","they were paired with Luupites names","they were paired with Niffites names",1,1,TRUE,2,TRUE,2,TRUE
"88",220,"female",20,4,4,4,4,4,4,0,0.2125,0.2772,0.1335,0.4994,0.3894,0.6676,"incompf","incompf",6,4,5,2,0,1,"niff_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE
"89",223,"female",47,2,2,3,3,2,3,1,-1.4817,-1.3739,-1.6805,0.3209,0.2515,0.4183,"incompf","compf",1,1,1,-3,-3,-3,"luup_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE
"90",224,"female",41,2,2,3,3,2,3,1,-1.1951,-1.139,-1.294,0.3353,0.5685,0.4525,"incompf","incompf",3,2,2.5,-1,-2,-1.5,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE
"91",226,"male",52,0,0,4,4,0,4,4,-1.0366,-0.9901,-1.0826,0.7672,0.5152,1.058,"compf","incompf",4,3,3.5,0,-1,-0.5,"niff_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE
"92",230,"female",20,4,4,3,4,4,3.5,-0.5,-0.3315,-0.143,-0.4798,0.1169,0.0123,0.1457,"compf","incompf",2,2,2,-2,-2,-2,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE
"93",231,"female",30,2,0,3,3,1,3,2,-0.4912,-0.2103,-0.8473,0.9902,0.955,1.0638,"incompf","compf",4,4,4,0,0,0,"luup_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE
"94",239,"male",20,-1,2,3,3,0.5,3,2.5,-0.4559,-0.5511,-0.3536,0.6417,0.4982,0.7993,"incompf","compf",1,1,1,-3,-3,-3,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE
"95",244,"male",47,4,4,3,3,4,3,-1,0.0069,0.1291,-0.0886,-0.2219,0.0352,-0.4436,"incompf","incompf",4,4,4,0,0,0,"niff_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE
"96",245,"female",55,3,3,3,3,3,3,0,-0.6058,-0.3229,-1.2147,0.7535,0.8229,0.6516,"compf","compf",1,1,1,-3,-3,-3,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE
"97",246,"female",20,-2,4,4,4,1,4,3,-0.4488,-0.3075,-0.6693,0.3333,0.3405,0.4234,"compf","incompf",1,1,1,-3,-3,-3,"luup_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE
"98",248,"male",31,-1,-1,3,3,-1,3,4,-0.6718,-0.7539,-0.7481,0.2797,0.3415,0.2239,"incompf","incompf",2,2,2,-2,-2,-2,"luup_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE
"99",250,"female",47,4,4,4,4,4,4,0,-0.3715,-0.2545,-0.496,0.2471,0.0803,0.3957,"compf","incompf",1,1,1,-3,-3,-3,"niff_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE
"100",252,"female",21,-1,1,4,4,0,4,4,-0.3433,-0.4196,-0.3452,0.5872,0.6715,0.5709,"incompf","incompf",2,2,2,-2,-2,-2,"niff_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE
