"","subject","sex_response","age_response","Comp_pn","Comp_gb","Warm_pn","Warm_gb","expComp","expWarm","valExplicit","steIAT","steIATodd","steIATeven","valIAT","valIATodd","valIATeven","sblock_order","block_order","warm_s","comp_s","stExplicit","warm_s1","comp_s1","stExplicit1","condition","mem_c_response","mem_w_response","ok","finish","finishok","nrspexp","expok","nrspiat","iatok","assignment","sIATorder","valenceIAT","valenceExplicit","warm_ok","comp_ok","cont_ok"
"29",213,"female",21,2,3,2,2,2.5,2,-0.5,-0.3433,-0.2652,-0.4068,0.7187,0.6443,0.8416,"compf","compf",2,2,2,-2,-2,-2,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","compf",0.448955362442905,-0.665799556141045,1,1,1
"30",214,"female",26,4,4,4,4,4,4,0,0.3896,0.3331,0.6175,0.8965,0.9946,0.9138,"compf","incompf",1,1,1,-3,-3,-3,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","compf",0.906770556649549,-0.36811033152029,1,1,1
"31",219,"female",30,1,2,-2,-1,1.5,-1.5,-3,0.2481,0.3673,0.1122,1.0477,1.0829,1.2107,"incompf","compf",4,2,3,0,-2,-1,"niff_w","they were paired with Luupites names","they were paired with Niffites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","incompf",1.29609371392764,-2.15424567924482,1,1,1
"32",224,"female",41,2,2,3,3,2,3,1,-1.1951,-1.139,-1.294,0.3353,0.5685,0.4525,"incompf","incompf",3,2,2.5,-1,-2,-1.5,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","incompf",-0.53825692922654,0.227268117721222,1,1,1
"33",230,"female",20,4,4,3,4,4,3.5,-0.5,-0.3315,-0.143,-0.4798,0.1169,0.0123,0.1457,"compf","incompf",2,2,2,-2,-2,-2,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","compf",-1.10061260085045,-0.665799556141045,1,1,1
"34",239,"male",20,-1,2,3,3,0.5,3,2.5,-0.4559,-0.5511,-0.3536,0.6417,0.4982,0.7993,"incompf","compf",1,1,1,-3,-3,-3,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","incompf",0.250688939754989,1.12033579158349,1,1,1
"35",245,"female",55,3,3,3,3,3,3,0,-0.6058,-0.3229,-1.2147,0.7535,0.8229,0.6516,"compf","compf",1,1,1,-3,-3,-3,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","compf",0.538561485943418,-0.36811033152029,1,1,1
"36",263,"female",57,4,4,4,4,4,4,0,-1.4735,-1.5347,-1.3979,1.0945,0.9991,1.2225,"incompf","compf",1,2,1.5,-3,-2,-2.5,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","incompf",1.41659850070419,-0.36811033152029,1,1,1
"37",265,"female",46,4,4,4,4,4,4,0,-0.5749,-0.4511,-0.7213,-0.112,0.2776,-0.4428,"compf","compf",7,7,7,3,3,3,"niff_w","they were paired with Luupites names","they were paired with Niffites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","compf",-1.69000460284089,-0.36811033152029,1,1,1
"38",274,"female",18,1,1,2,2,1,2,1,-0.0021,0.1004,-0.1706,0.8024,0.55,1.0246,"compf","incompf",6,6,6,2,2,2,"niff_w","they were paired with Luupites names","they were paired with Niffites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","compf",0.664473538793277,0.227268117721222,1,1,1
"39",277,"female",37,3,3,4,4,3,4,1,-0.6693,-0.6355,-0.8235,0.7324,0.7886,0.6971,"compf","compf",3,3,3,-1,-1,-1,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","compf",0.484231336349716,0.227268117721222,1,1,1
"40",279,"female",27,2,2,4,4,2,4,2,-0.5242,-0.5399,-0.5171,0.7718,0.8323,0.7185,"incompf","compf",1,1,1,-3,-3,-3,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","incompf",0.585681947439378,0.822646566962734,1,1,1
"41",283,"female",23,4,4,4,4,4,4,0,0.9788,0.7987,1.2063,0.5516,0.5451,0.5503,"incompf","compf",7,7,7,3,3,3,"niff_w","they were paired with Luupites names","they were paired with Niffites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","incompf",0.0186914763240625,-0.36811033152029,1,1,1
"42",286,"male",18,3,3,3,3,3,3,0,-0.3526,-0.569,-0.0644,0.5836,0.7108,0.5117,"compf","incompf",2,2,2,-2,-2,-2,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","compf",0.101087911726833,-0.36811033152029,1,1,1
"43",287,"male",20,2,4,3,3,3,3,0,-0.6212,-0.3584,-0.9848,0.2277,0.259,0.2147,"incompf","compf",1,2,1.5,-3,-2,-2.5,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","incompf",-0.815314943268356,-0.36811033152029,1,1,1
"44",294,"female",20,-2,-2,3,2,-2,2.5,4.5,-0.0227,-0.2005,0.1856,0.5211,0.4148,0.7703,"compf","incompf",1,1,1,-3,-3,-3,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","compf",-0.0598426261692031,2.31109269006651,1,1,1
"45",297,"male",27,3,3,3,3,3,3,0,0.4977,0.6238,0.3475,0.4552,0.4321,0.6831,"compf","compf",6,6,6,2,2,2,"niff_w","they were paired with Luupites names","they were paired with Niffites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","compf",-0.229527785326784,-0.36811033152029,1,1,1
"46",299,"male",33,3,3,2,2,3,2,-1,-0.0846,0.1028,-0.3504,0.0457,-0.2403,0.2073,"incompf","compf",5,5,5,1,1,1,"niff_w","they were paired with Luupites names","they were paired with Niffites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","incompf",-1.28394466962161,-0.963488780761801,1,1,1
"47",302,"female",40,4,4,4,4,4,4,0,-1.3055,-1.2364,-1.3813,0.9392,0.9127,0.9616,"compf","incompf",2,4,3,-2,0,-1,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","compf",1.01671830014012,-0.36811033152029,1,1,1
"48",311,"female",29,4,4,3,3,4,3,-1,-0.1061,0.0236,-0.2216,1.0292,1.0792,0.9672,"incompf","compf",2,1,1.5,-2,-3,-2.5,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","incompf",1.24845827471041,-0.963488780761801,1,1,1
"49",312,"male",35,3,3,0,1,3,0.5,-2.5,-0.8581,-0.9361,-0.8625,0.4674,0.6675,0.3409,"incompf","incompf",2,2,2,-2,-2,-2,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","incompf",-0.198114144329478,-1.85655645462407,1,1,1
"50",315,"male",20,2,2,3,3,2,3,1,0.2941,0.3044,0.3074,0.4914,0.3431,0.7222,"incompf","compf",6,5,5.5,2,1,1.5,"niff_w","they were paired with Luupites names","they were paired with Niffites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","incompf",-0.1363168177774,0.227268117721222,1,1,1
"51",321,"female",48,3,3,3,3,3,3,0,0.8746,1.0462,0.8574,0.1759,0.3315,0.3297,"compf","compf",6,6,6,2,2,2,"niff_w","they were paired with Luupites names","they were paired with Niffites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","compf",-0.948694173076591,-0.36811033152029,1,1,1
"52",326,"female",43,2,2,4,4,2,4,2,-0.2844,-0.2377,-0.3495,0.7103,0.7048,0.779,"compf","incompf",1,1,1,-3,-3,-3,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","compf",0.427326298149678,0.822646566962734,1,1,1
"53",353,"female",24,-2,-2,3,3,-2,3,5,-0.1817,0.1361,-0.4841,0.8944,1.0871,0.6693,"compf","compf",5,5,5,1,1,1,"niff_w","they were paired with Luupites names","they were paired with Niffites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","compf",0.901363290576242,2.60878191468727,1,1,1
"54",366,"male",33,0,3,3,3,1.5,3,1.5,-0.912,-0.7203,-1.1281,0.9121,0.9403,0.8782,"compf","incompf",1,1,1,-3,-3,-3,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","compf",0.9469388189084,0.524957342341978,1,1,1
"55",370,"female",55,4,4,4,4,4,4,0,1.2985,1.2099,1.3726,0.943,0.7588,1.0947,"compf","incompf",6,6,6,2,2,2,"niff_w","they were paired with Luupites names","they were paired with Niffites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","compf",1.0265028768442,-0.36811033152029,1,1,1
"56",373,"female",28,1,1,2,2,1,2,1,-0.7458,-0.5171,-1.1424,0.3429,0.7193,0.1609,"compf","compf",1,1,1,-3,-3,-3,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","compf",-0.518687775818382,0.227268117721222,1,1,1
"57",374,"female",49,2,3,3,3,2.5,3,0.5,-0.6597,-0.7638,-0.5631,0.7189,0.6723,0.7576,"compf","incompf",1,1,1,-3,-3,-3,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","compf",0.449470340164172,-0.0704211068995337,1,1,1
"58",376,"female",18,-2,-2,2,2,-2,2,4,0.1645,0.276,0.0861,0.2177,0.1656,0.23,"incompf","incompf",2,2,2,-2,-2,-2,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","incompf",-0.841063829331722,2.01340346544576,1,1,1
"59",386,"male",49,3,3,3,3,3,3,0,-0.2587,-0.414,-0.1052,0.4251,0.1201,0.6964,"compf","incompf",2,2,2,-2,-2,-2,"niff_w","they were paired with Luupites names","they were paired with Niffites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","compf",-0.307031932377515,-0.36811033152029,1,1,1
"60",387,"male",35,4,3,4,3,3.5,3.5,0,0.1254,0.1883,0.2216,-0.0935,-0.1886,0.0607,"incompf","compf",4,4,4,0,0,0,"niff_w","they were paired with Luupites names","they were paired with Niffites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","incompf",-1.64236916362367,-0.36811033152029,1,1,1
"61",404,"male",51,2,0,4,4,1,4,3,0.3971,-0.1712,0.7157,0.5953,0.6232,0.6354,"incompf","incompf",7,7,7,3,3,3,"niff_w","they were paired with Luupites names","they were paired with Niffites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","incompf",0.131214108420971,1.41802501620425,1,1,1
"62",410,"female",28,3,3,4,4,3,4,1,0.4118,0.5081,0.2547,0.6828,0.8064,0.5954,"compf","incompf",5,5,5,1,1,1,"niff_w","they were paired with Luupites names","they were paired with Niffites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","compf",0.356516861475422,0.227268117721222,1,1,1
"63",411,"male",33,4,4,4,4,4,4,0,0.7534,0.701,0.7758,0.6081,0.9789,0.3203,"incompf","compf",4,4,4,0,0,0,"niff_w","they were paired with Luupites names","they were paired with Niffites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","incompf",0.164172682582079,-0.36811033152029,1,1,1
"64",413,"female",36,2,3,3,3,2.5,3,0.5,-0.6148,-0.781,-0.4641,1.1578,1.3036,1.0272,"compf","compf",1,1,1,-3,-3,-3,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","compf",1.5795889494853,-0.0704211068995337,1,1,1
"65",416,"female",36,4,4,4,4,4,4,0,-0.3927,-0.4758,-0.3212,0.691,0.6883,0.7881,"incompf","incompf",4,4,4,0,0,0,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","incompf",0.377630948047382,-0.36811033152029,1,1,1
"66",418,"male",47,4,4,4,4,4,4,0,0.956,0.9322,0.9784,0.0887,-0.0308,0.1636,"compf","incompf",5,5,5,1,1,1,"niff_w","they were paired with Luupites names","they were paired with Niffites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","compf",-1.17322445954914,-0.36811033152029,1,1,1
"67",421,"male",37,4,4,4,4,4,4,0,0.5695,0.6478,0.3832,-0.1535,-0.556,0.0527,"compf","compf",1,1,1,-3,-3,-3,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","compf",-1.79686248000386,-0.36811033152029,1,1,1
