"date","time","group","subject","build","blocknum","trialnum","blockcode","trialcode","pretrialpause","posttrialpause","windowcenter","trialduration","trialtimeout","blocktimeout","response","correct","latency","inwindow","stimulusnumber1","stimulusitem1","stimulusvpos1","stimulushpos1","stimulusonset1","stimulusnumber2","stimulusitem2","stimulusvpos2","stimulushpos2","stimulusonset2"
"120219","16:14:12","1","1","4.0.10.0","1","1","Begin1","groups","0","0","0","0","0","0","next","0","1853","0","1","groups.htm","50pct","50pct","220","1","Press here to continue","85pct","50pct","220"
"120219","16:14:12","1","1","4.0.10.0","2","1","EC_Training_N_Warm_L_Competent_Block_1","EC_Training_Trial_L_Competent","1000","0","0","3000","0","0","0","0","1500","0","3","Omeelup","47pct","40pct","499","2","Scientific","47pct","62pct","499"
"120219","16:14:12","1","1","4.0.10.0","2","2","EC_Training_N_Warm_L_Competent_Block_1","EC_Training_Trial_N_Warm","1000","0","0","3000","0","0","Ctrl+'B'","1","0","0","1","Cellanif","47pct","40pct","499","3","Kind","47pct","62pct","499"
"120219","16:14:12","1","1","4.0.10.0","3","1","EC_Training_N_Warm_L_Competent_Block_2","EC_Training_Trial_L_Competent","1000","0","0","3000","0","0","Ctrl+'B'","1","457","0","4","Wenaalup","47pct","40pct","499","1","Smart","47pct","62pct","499"
"120219","16:14:12","1","1","4.0.10.0","4","1","preiat","preiat","0","0","0","0","0","0","next","0","11764","0","1","instIATster.htm","50pct","50pct","700","1","Press here to continue","85pct","50pct","700"
"120219","15:27:26","9","9","4.0.10.0","1","1","Begin1","groups","0","0","0","0","0","0","next","0","27294","0","1","groups.htm","50pct","50pct","751","1","Press here to continue","85pct","50pct","751"
"120219","15:27:26","9","9","4.0.10.0","2","1","EC_Training_N_Warm_L_Competent_Block_1","EC_Training_Trial_N_Warm","1000","0","0","3000","0","0","0","0","1500","0","1","Cellanif","47pct","40pct","499","4","Good-natured","47pct","62pct","499"
"120219","15:27:26","9","9","4.0.10.0","2","2","EC_Training_N_Warm_L_Competent_Block_1","EC_Training_Trial_L_Competent","1000","0","0","3000","0","0","0","0","1500","0","3","Omeelup","47pct","40pct","499","3","Confident","47pct","62pct","499"
"120219","15:27:26","9","9","4.0.10.0","2","3","EC_Training_N_Warm_L_Competent_Block_1","EC_Training_Trial_N_Warm","1000","0","0","3000","0","0","0","0","1500","0","3","Lebbunif","47pct","40pct","499","1","Friendly","47pct","62pct","499"
"120219","15:27:26","9","9","4.0.10.0","2","4","EC_Training_N_Warm_L_Competent_Block_1","EC_Training_Trial_L_Competent","1000","0","0","3000","0","0","0","0","1500","0","2","Neenolup","47pct","40pct","499","4","Determined","47pct","62pct","499"
"120219","15:27:26","9","9","4.0.10.0","2","5","EC_Training_N_Warm_L_Competent_Block_1","EC_Training_Trial_N_Warm","1000","0","0","3000","0","0","0","0","1500","0","2","Eskannif","47pct","40pct","499","2","Helpful","47pct","62pct","499"
"120219","15:27:26","9","9","4.0.10.0","2","6","EC_Training_N_Warm_L_Competent_Block_1","EC_Training_Trial_L_Competent","1000","0","0","3000","0","0","0","0","1500","0","4","Wenaalup","47pct","40pct","499","2","Scientific","47pct","62pct","499"
"120219","15:27:26","9","9","4.0.10.0","2","7","EC_Training_N_Warm_L_Competent_Block_1","EC_Training_Trial_N_Warm","1000","0","0","3000","0","0","0","0","1500","0","4","Zallunif","47pct","40pct","499","3","Kind","47pct","62pct","499"
"120219","15:27:26","9","9","4.0.10.0","2","8","EC_Training_N_Warm_L_Competent_Block_1","EC_Training_Trial_L_Competent","1000","0","0","3000","0","0","0","0","1500","0","1","Maasolup","47pct","40pct","499","1","Smart","47pct","62pct","499"
