"subject"	"IAT1"	"IAT1_odd"	"IAT1_even"	"IAT1_block1"	"Liking_1"	"Expect_1"	"measureorder"	"Liking_2"	"Expect_2"	"measureorder2"	"USaversiveness"	"instructionclarity"	"instructionbelief"	"Group"	"Contingency"	"Cooccurrence"	"Csplus"	"presorder"	"measorder"	"memory1_response"	"Expect1_CSplus"	"Expect1_CSmin"	"Liking1_CSplus"	"Liking1_CSmin"
"22"	42	-0.0242	-0.1425	0.122	"incompatibletest1"	2.32685163109559	0.381720800249346	1	2.09269387145917	0.518157895856686	1	5	9	7	10	1	1	2	2	1	"8 times followed by the sound, twice not followed"	0.381720800249346	0.518157895856686	2.32685163109559	2.09269387145917
"23"	43	-0.3186	-0.1335	-0.4684	"compatibletest1"	1.65492656115355	-1.17664452860365	1	1.00743094178679	0.518157895856686	1	3	7	8	11	2	1	2	1	1	"8 times followed by the sound, 8 times not followed"	0.518157895856686	-1.17664452860365	1.00743094178679	1.65492656115355
"24"	45	-0.1903	-0.1171	-0.2411	"compatibletest1"	0.0871013979554501	-1.17664452860365	1	-0.0778319878855952	1.59433198725134	1	4	8	8	13	1	2	2	1	1	"4 times followed by the sound, once not followed"	1.59433198725134	-1.17664452860365	-0.0778319878855952	0.0871013979554501
"25"	46	-0.504	0.6943	0.3691	"incompatibletest1"	0.759026467897493	-0.00787053196390392	1	-1.59720008942693	1.59433198725134	1	4	6	6	14	1	2	2	2	1	"Never followed by the sound"	-0.00787053196390392	1.59433198725134	0.759026467897493	-1.59720008942693
"26"	47	-0.1915	-0.3782	0.1195	"compatibletest1"	0.0871013979554501	-1.17664452860365	1	-0.0778319878855952	-0.916740892669522	1	3	9	9	15	2	2	2	1	1	"4 times followed by the sound, 4 times not followed"	-0.916740892669522	-1.17664452860365	-0.0778319878855952	0.0871013979554501
"27"	48	-1.1033	1.2943	1.0369	"incompatibletest1"	0.0871013979554501	0.381720800249346	1	-0.0778319878855952	-0.916740892669522	1	3	8	9	16	2	2	2	2	1	"4 times followed by the sound, 4 times not followed"	0.381720800249346	-0.916740892669522	0.0871013979554501	-0.0778319878855952
"28"	51	-0.0305	0.6162	-0.5632	"compatibletest1"	1.65492656115355	0.381720800249346	2	-0.0778319878855952	-0.916740892669522	2	3	9	8	19	2	1	1	1	2	"8 times followed by the sound, 8 times not followed"	0.381720800249346	-0.916740892669522	1.65492656115355	-0.0778319878855952
"29"	52	-0.0873	-0.1142	0.2649	"incompatibletest1"	2.32685163109559	-1.17664452860365	2	2.09269387145917	0.518157895856686	2	5	9	9	20	2	1	1	2	2	"8 times followed by the sound, 8 times not followed"	0.518157895856686	-1.17664452860365	2.09269387145917	2.32685163109559
"30"	53	0.9724	1.061	1.1251	"compatibletest1"	-1.70469878855667	1.16090346467585	2	2.09269387145917	-0.916740892669522	2	4	9	9	21	1	2	1	1	2	"4 times followed by the sound, once not followed"	1.16090346467585	-0.916740892669522	-1.70469878855667	2.09269387145917
"31"	54	0.8318	-0.9043	-0.7399	"incompatibletest1"	0.983001491211508	1.16090346467585	2	-0.0778319878855952	-0.199291498406418	2	5	7	8	22	1	2	1	2	2	"4 times followed by the sound, once not followed"	-0.199291498406418	1.16090346467585	-0.0778319878855952	0.983001491211508
