date;time;group;subject;session;build;memory1_2_response;memory1_latency;memory2_2_response;memory2_latency
27/08/20;13:29:37;919139850;88;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;5889;Always followed by the PLEASANT sound;3969
27/08/20;13:29:33;389118758;20;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;8869;Always followed by the SECOND sound;18451
27/08/20;13:30:05;148770940;96;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;16589;Always followed by the PLEASANT sound;4161
27/08/20;13:30:17;93475805;45;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;7011;Always followed by the PLEASANT sound;3849
27/08/20;13:32:41;84786971;69;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;6202;Always followed by the PLEASANT sound;3373
27/08/20;13:33:06;783858659;90;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;8768;Always followed by the SECOND sound;3023
27/08/20;13:33:10;719213295;139;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;11864;Always followed by the SECOND sound;3223
27/08/20;13:34:06;85603401;214;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;6589;Always followed by the PLEASANT sound;3373
27/08/20;13:34:28;287994933;169;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;11901;Always followed by the SECOND sound;8533
27/08/20;13:35:08;941044960;183;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;13019;Always followed by the PLEASANT sound;4993
27/08/20;13:33:06;202618472;154;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;20084;Always followed by the SECOND sound;6829
27/08/20;13:35:26;832650172;79;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;23857;Always followed by the PLEASANT sound;4462
27/08/20;13:36:20;687673320;233;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;9389;8 times followed by the SECOND sound, twice not followed by any sound;3065
27/08/20;13:36:13;208908319;181;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;6886;Always followed by the PLEASANT sound;10492
27/08/20;13:36:26;951889777;135;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;10800;Always followed by the PLEASANT sound;5646
27/08/20;13:37:01;232569883;227;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;6989;Always followed by the SECOND sound;4310
27/08/20;13:37:39;877683135;234;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;8408;Always followed by the SECOND sound;3342
27/08/20;13:38:35;33117268;249;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;4455;Always followed by the SECOND sound;2470
27/08/20;13:38:42;33862984;208;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;10284;Always followed by the PLEASANT sound;4452
27/08/20;13:38:45;461727716;221;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;14119;Always followed by the PLEASANT sound;4234
27/08/20;13:39:49;527910478;73;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;17065;Always followed by the SECOND sound;4700
27/08/20;14:39:19;169883611;119;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;35785;Always followed by the PLEASANT sound;5250
27/08/20;13:40:39;70386654;250;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;8600;Always followed by the SECOND sound;3350
