"subject"	"IAT1"	"IAT1_odd"	"IAT1_even"	"IAT1_block1"	"Liking_1"	"Expect_1"	"measureorder"	"Liking_2"	"Expect_2"	"measureorder2"	"USaversiveness"	"instructionclarity"	"instructionbelief"	"Group"	"Contingency"	"Cooccurrence"	"Csplus"	"presorder"	"measorder"	"memory1_response"	"lat_comp"	"lat_incomp"	"Expect1_CSplus"	"Expect1_CSmin"	"Liking1_CSplus"	"Liking1_CSmin"
"1"	6	0.2608	-0.189	-0.3196	"incompatibletest1"	0.126542963654764	0.697699291289008	1	1.57916632240254	1.6833991136218	1	5	9	9	6	1	2	1	2	1	"4 times followed by the sound, once not followed"	649.266666666667	722.866666666667	1.6833991136218	0.697699291289008	1.57916632240254	0.126542963654764
"2"	7	0.3998	0.7849	0.1533	"compatibletest1"	-1.41751338185749	0.305501464824773	1	1.37940493674576	-0.869532267355388	1	4	9	9	7	2	2	1	1	1	"4 times followed by the sound, 4 times not followed"	787.65	857.616666666667	0.305501464824773	-0.869532267355388	-1.41751338185749	1.37940493674576
"3"	8	-0.2438	0.4029	-0.1182	"incompatibletest1"	0.126542963654764	-1.26328984103217	1	-0.0189247628516949	0.589285664631576	1	-4	7	7	8	2	2	1	2	1	"4 times followed by the sound, 4 times not followed"	598.85	550.566666666667	0.589285664631576	-1.26328984103217	-0.0189247628516949	0.126542963654764
"4"	9	0.0594	0.1047	0.018	"compatibletest1"	0.126542963654764	-0.871092014567933	1	-1.01773169113559	1.6833991136218	1	5	8	3	9	1	1	2	1	1	"8 times followed by the sound, twice not followed"	573.85	579.016666666667	1.6833991136218	-0.871092014567933	-1.01773169113559	0.126542963654764
"5"	11	-0.2742	-0.1844	-0.8852	"compatibletest1"	0.126542963654764	-0.478894188103698	1	-0.618208919822032	0.589285664631576	1	5	6	7	11	2	1	2	1	1	"8 times followed by the sound, 8 times not followed"	1152.16666666667	1007.95	0.589285664631576	-0.478894188103698	-0.618208919822032	0.126542963654764
"6"	12	-0.399	0.6341	0.219	"incompatibletest1"	-0.535195470136202	0.305501464824773	1	-1.21749307679237	-0.869532267355388	1	2	8	7	12	2	1	2	2	1	"8 times followed by the sound, 8 times not followed"	1069.68333333333	900	0.305501464824773	-0.869532267355388	-0.535195470136202	-1.21749307679237
"7"	14	-0.0504	0.2367	-0.1596	"incompatibletest1"	0.126542963654764	1.48209494421748	1	-0.0189247628516949	-0.869532267355388	1	5	9	9	14	1	2	2	2	1	"4 times followed by the sound, once not followed"	578.65	567.983333333333	1.48209494421748	-0.869532267355388	0.126542963654764	-0.0189247628516949
"8"	15	-0.1719	-0.1963	-0.0651	"compatibletest1"	1.22944035330637	1.87429277068171	1	1.37940493674576	2.04810359661854	1	5	4	3	15	2	2	2	1	1	"4 times followed by the sound, 4 times not followed"	794.983333333333	772.833333333333	2.04810359661854	1.87429277068171	1.37940493674576	1.22944035330637
"9"	23	0.6462	0.6838	0.736	"compatibletest1"	-1.63809285978781	0.305501464824773	2	1.17964355108898	-0.869532267355388	2	3	9	9	23	2	2	1	1	2	"4 times followed by the sound, 4 times not followed"	830.566666666667	1062.65	0.305501464824773	-0.869532267355388	-1.63809285978781	1.17964355108898
"10"	24	-0.603	0.5952	0.6343	"incompatibletest1"	-2.07925181564846	-1.26328984103217	2	-2.01653861941948	2.04810359661854	2	5	9	9	24	2	2	1	2	2	"4 times followed by the sound, 4 times not followed"	763.35	644.333333333333	2.04810359661854	-1.26328984103217	-2.01653861941948	-2.07925181564846
"11"	25	-0.0659	0.0034	-0.3176	"compatibletest1"	0.126542963654764	0.305501464824773	2	-0.0189247628516949	0.589285664631576	2	2	6	7	25	1	1	2	1	2	"8 times followed by the sound, twice not followed"	814.183333333333	816.3	0.589285664631576	0.305501464824773	-0.0189247628516949	0.126542963654764
"12"	26	-0.7118	0.7985	0.6215	"incompatibletest1"	-2.07925181564846	1.48209494421748	2	1.77892770805932	-0.869532267355388	2	5	6	9	26	1	1	2	2	2	"8 times followed by the sound, twice not followed"	757.35	635.283333333333	1.48209494421748	-0.869532267355388	-2.07925181564846	1.77892770805932
"13"	27	-0.0806	0.16	-0.5162	"compatibletest1"	0.126542963654764	-1.26328984103217	2	-0.418447534165253	0.589285664631576	2	3	9	9	27	2	1	2	1	2	"8 times followed by the sound, 8 times not followed"	755.2	728.55	0.589285664631576	-1.26328984103217	-0.418447534165253	0.126542963654764
"14"	28	-0.7087	0.6506	0.7816	"incompatibletest1"	-1.41751338185749	0.305501464824773	2	-1.21749307679237	0.589285664631576	2	4	5	8	28	2	1	2	2	2	"8 times followed by the sound, 8 times not followed"	958.5	717.566666666667	0.305501464824773	0.589285664631576	-1.41751338185749	-1.21749307679237
"15"	30	-0.3731	-0.0373	0.6923	"incompatibletest1"	-0.0940365142755583	1.08989711775324	2	-0.0189247628516949	-0.869532267355388	2	4	6	7	30	1	2	2	2	2	"4 times followed by the sound, once not followed"	621.483333333333	554.033333333333	1.08989711775324	-0.869532267355388	-0.0940365142755583	-0.0189247628516949
"16"	31	-0.0676	-0.0133	-0.2807	"compatibletest1"	0.126542963654764	-1.26328984103217	2	-0.817970305478811	0.953990147628317	2	-3	9	9	31	2	2	2	1	2	"4 times followed by the sound, 4 times not followed"	637.183333333333	630.783333333333	0.953990147628317	-1.26328984103217	-0.817970305478811	0.126542963654764
